gauge_revision_id,gauge_id,created_date,latitude,longitude,timezone,time_window_hour,brand,model,description,gauge_type,report_automation_mode,gauge_type_other
1,1,2005-07-01,32.00000000000000,-111.00000000000000,America/Phoenix,7,,,,Other,manual,
3,3,2005-06-01,32.25447490000000,-110.94629200000000,America/Phoenix,7,,,,Other,manual,
4,4,2005-07-01,32.27555860000000,-110.94204400000000,America/Phoenix,7,,,,Other,manual,
5,5,2005-07-01,32.27555860000000,-110.94204400000000,America/Phoenix,7,,,,Other,manual,
6,6,2005-07-01,31.39657920000000,-110.24209400000000,America/Phoenix,7,,,,Other,manual,
7,7,2006-07-07,31.45033919860000,-109.91508007050000,America/Phoenix,7,,,,TruChek,manual,
8,8,2005-06-01,31.44199160000000,-109.91439300000000,America/Phoenix,7,,,,Other,manual,
9,9,2005-07-18,31.37666312697606,-109.91986513137817,America/Phoenix,7,Tru-Chek,,,TruChek,manual,
10,10,2006-07-06,32.22457821900000,-110.90673297640000,America/Phoenix,7,N/A,,,TruChek,manual,
13,13,2005-07-08,32.18005756865112,-111.09646975994110,America/Phoenix,7,Tru-Chek,,"other brand",TruChek,manual,
14,14,2005-06-01,32.26715840000000,-110.94953200000000,America/Phoenix,7,,,,TruChek,manual,
15,15,2006-06-08,32.32120207938270,-111.00255489349400,America/Phoenix,7,N/A,,,TruChek,manual,
16,16,2005-06-01,32.37277610000000,-111.02375500000000,America/Phoenix,7,,,,TruChek,manual,
17,17,2005-06-01,32.24721600000000,-110.92989920000000,America/Phoenix,7,,,,TruChek,manual,
19,19,2005-07-01,32.29239310000000,-110.78325700000000,America/Phoenix,7,,,,TruChek,manual,
20,20,2005-07-25,31.96658075360000,-110.69311380390000,America/Phoenix,7,,,,TruChek,manual,
21,21,2005-06-01,32.25355848782419,-110.94638407230377,America/Phoenix,7,Tru-Chek,,,TruChek,manual,
22,22,2005-06-01,32.22627090000000,-110.87668400000001,America/Phoenix,7,N/A,,,TruChek,manual,
23,23,2006-10-09,32.21686764790000,-110.80109953880000,America/Phoenix,7,,,,TruChek,manual,
10436,23,2017-08-04,32.21687760000000,-110.80112220000001,America/Phoenix,7,,,,TruChek,manual,
10530,23,2017-08-11,32.21687760000000,-110.80112220000001,America/Phoenix,7,,,,TruChek,manual,
10689,23,2018-02-12,32.21687760000000,-110.80112220000001,America/Phoenix,7,Tru-Chek,,,TruChek,manual,
24,24,2006-03-12,31.45611111111111,-110.26000000000000,America/Phoenix,7,Tru-Chek,,,TruChek,manual,
