monthly_reading_id,gauge_id,gauge_revision_id,reading_date,rain_amount,remarks,created_date_utc,modified_date_utc
2358717,27,10619,2017-11-01,0.0400,,2018-02-16T03:48:26Z,2018-02-16T03:48:26Z
2358949,27,10619,2019-03-01,0.0500,"11 March",2019-07-08T23:33:18Z,2019-07-08T23:33:18Z
10496,56,56,2005-12-01,0.0600,"one day 12/12",2006-07-29T14:06:54Z,2006-07-29T14:06:54Z
21829,67,67,2006-01-01,0.0000,,2006-09-08T10:50:37Z,2006-09-08T10:50:37Z
21838,67,67,2006-02-01,0.0000,,2006-09-08T10:57:39Z,2006-09-08T10:57:39Z
21839,67,67,2006-03-01,0.8500,,2006-09-08T10:58:04Z,2006-09-08T10:58:04Z
21840,67,67,2006-04-01,0.0000,,2006-09-08T10:58:29Z,2006-09-08T11:01:05Z
21843,67,67,2006-05-01,0.0600,,2006-09-08T10:59:08Z,2006-09-08T10:59:08Z
21844,67,67,2006-06-01,0.8800,,2006-09-08T10:59:32Z,2006-09-08T10:59:32Z
21845,67,67,2006-07-01,9.6100,,2006-09-08T10:59:57Z,2006-09-08T10:59:57Z
21846,67,67,2006-08-01,1.1300,,2006-09-08T11:00:22Z,2006-09-08T11:00:22Z
84766,67,67,2006-10-01,0.7800,,2007-02-02T06:26:55Z,2007-02-02T06:26:55Z
84767,67,67,2006-11-01,0.0800,,2007-02-02T06:27:25Z,2007-02-02T06:27:25Z
84768,67,67,2006-12-01,0.8000,,2007-02-02T06:27:45Z,2007-02-02T06:27:45Z
84769,67,67,2007-01-01,0.7100,,2007-02-02T06:28:16Z,2007-02-02T06:28:16Z
106632,67,67,2007-03-01,1.0300,,2007-04-01T07:18:50Z,2007-04-01T07:18:50Z
113395,67,67,2007-04-01,0.2500,,2007-05-01T06:39:13Z,2007-05-01T06:39:13Z
119848,67,67,2007-05-01,0.0000,,2007-06-01T08:50:48Z,2007-06-01T08:50:48Z
128730,67,67,2007-06-01,0.0700,,2007-07-01T06:52:41Z,2007-07-01T06:52:41Z
318118,67,67,2008-06-01,0.2100,,2008-07-01T15:58:45Z,2008-07-01T15:58:45Z
748440,67,67,2010-06-01,0.0000,,2010-07-02T07:05:57Z,2010-07-02T07:05:57Z
254295,68,68,2008-01-01,0.2600,,2008-02-16T09:13:13Z,2008-02-16T09:13:13Z
262653,68,68,2008-02-01,1.7200,,2008-03-05T06:44:53Z,2008-03-05T06:44:53Z
273921,68,68,2008-03-01,0.1900,,2008-04-01T20:34:15Z,2008-04-01T20:34:15Z
307427,68,68,2008-04-01,0.0200,,2008-06-15T07:55:05Z,2008-06-15T07:55:05Z
307433,68,68,2008-05-01,0.0000,,2008-06-15T07:59:50Z,2008-06-15T07:59:50Z
318585,68,68,2008-06-01,0.7700,,2008-07-01T21:40:57Z,2008-07-01T21:40:57Z
339809,68,68,2008-07-01,2.9400,,2008-08-02T16:48:13Z,2008-08-02T16:48:13Z
362371,68,68,2008-08-01,3.5800,,2008-09-02T06:17:34Z,2008-09-02T06:17:34Z
251037,70,70,2007-01-01,1.3200,"1.32 inches PLUS 9 inches of snow",2008-02-13T10:58:23Z,2008-02-13T10:58:23Z
251038,70,70,2007-02-01,0.1800,,2008-02-13T10:58:58Z,2008-02-13T10:58:58Z
251039,70,70,2007-03-01,1.3800,,2008-02-13T10:59:22Z,2008-02-13T10:59:22Z
251040,70,70,2007-04-01,0.0100,,2008-02-13T10:59:44Z,2008-02-13T10:59:44Z
251041,70,70,2007-05-01,0.0900,,2008-02-13T11:00:15Z,2008-02-13T11:00:15Z
251042,70,70,2007-06-01,1.7100,,2008-02-13T11:00:49Z,2008-02-13T11:00:49Z
251103,70,70,2007-07-01,9.2200,,2008-02-13T11:01:14Z,2008-02-13T11:01:14Z
251104,70,70,2007-08-01,3.3200,,2008-02-13T11:01:36Z,2008-02-13T11:01:36Z
251105,70,70,2007-09-01,0.2000,,2008-02-13T11:02:01Z,2008-02-13T11:02:01Z
251106,70,70,2007-10-01,1.3300,,2008-02-13T11:02:28Z,2008-02-13T11:02:28Z
251107,70,70,2007-11-01,0.3800,,2008-02-13T11:02:53Z,2008-02-13T11:02:53Z
